count,titlePaper,citationChicago,publishedYear,publishedMonth,locationStudy,"GPS Lat, Long",gpsLat,gpsLong,citations
1,0,0,2018,6,"Rooster Bio, Fredrick, MD","39.38210713013573, -77.41519021748248",39.38210713,-77.41519022,50
2,0,0,2019,5,"King Abdulaziz University, Saudi Arabia","21.49327746843772, 39.23960863720854",21.49327747,39.23960864,39
2,0,0,2019,5,"Shriners Hospital for Children, Montreal, Canada","45.47175760596899, -73.60107898117334",45.47175761,-73.60107898,39
3,0,0,2018,9,"Fischell Department of Bioengineering, University of Maryland, College Park, MD","38.99187409508044, -76.93745958324428",38.9918741,-76.93745958,37
3,0,0,2018,9,"National Institute of Standards and Technology, Gaithersburg, MD","39.14034624844112, -77.21839022926984",39.14034625,-77.21839023,37
4,Stem cell-inspired secretome-rich injectable hydrogel to repair injured cardiac tissue,0,2017,12,"University of Kansas, Lawrence, KS","38.95441062542247, -95.25538840652833",38.95441063,-95.25538841,82
4,Stem cell-inspired secretome-rich injectable hydrogel to repair injured cardiac tissue,0,2017,12,"University of Cincinnati, Cincinnati, OH","39.133030067758874, -84.51478946974734",39.13303007,-84.51478947,82
5,Mesenchymal stromal cell-derived exosomes improve mitochondrial health in pulmonary arterial hypertension,0,2019,5,"United Therapeutics Corporation , Durham, North Carolina","35.91464320729626, -78.87675468889176",35.91464321,-78.87675469,27
6,Enhanced proliferation and differentiation of mesenchymal stem cells by astaxanthin-encapsulated polymeric micelles,"Zhang, Jun, and Ching-An Peng. ""Enhanced proliferation and differentiation of mesenchymal stem cells by astaxanthin-encapsulated polymeric micelles."" PloS one 14, no. 5 (2019): e0216755.",2019,5,"University of Idaho, Moscow, ID","46.72890062822295, -117.01222216393322",46.72890063,-117.0122222,8
7,Conditioning of myoblast secretome using mesenchymal stem/stromal cell spheroids improves bone repair,"Saiz Jr, Augustine M., Marissa A. Gionet-Gonzales, Mark A. Lee, and J. Kent Leach. ""Conditioning of myoblast secretome using mesenchymal stem/stromal cell spheroids improves bone repair."" Bone 125 (2019): 151-159.",2019,8,"University of California at Davis, Davis, CA","38.54120035035515, -121.76194092695917",38.54120035,-121.7619409,3
8,Serum-free media formulations are cell line-specific and require optimization for microcarrier culture,"Tan, Kah Yong, Kim Leng Teo, Jessica FY Lim, Allen KL Chen, Shaul Reuveny, and Steve KW Oh. ""Serum-free media formulations are cell line–specific and require optimization for microcarrier culture."" Cytotherapy 17, no. 8 (2015): 1152-1165.",2015,8,"Agency for Science, Technology and Research (A*STAR), Centros, Singapore","1.2991091740040848, 103.78750072295536",1.299109174,103.7875007,47
9,Heparin/Collagen Coatings Improve Human Mesenchymal Stromal Cell Response to Interferon Gamma,"Castilla-Casadiego, David A., José R. García, Andrés J. García, and Jorge Almodovar. ""Heparin/collagen coatings improve human mesenchymal stromal cell response to interferon gamma."" ACS Biomaterials Science & Engineering 5, no. 6 (2019): 2793-2803.",2019,5,"University of Puerto Rico Mayaguez, Puerto Rico","18.21113408232875, -67.14100979114825",18.21113408,-67.14100979,8
9,Heparin/Collagen Coatings Improve Human Mesenchymal Stromal Cell Response to Interferon Gamma,"Castilla-Casadiego, David A., José R. García, Andrés J. García, and Jorge Almodovar. ""Heparin/collagen coatings improve human mesenchymal stromal cell response to interferon gamma."" ACS Biomaterials Science & Engineering 5, no. 6 (2019): 2793-2803.",2019,5,"Georgia Institute of Technology, Atlanta, Georgia","33.775194211179226, -84.3966356694407",33.77519421,-84.39663567,8
10,Self-Healing and Thermoresponsive Dual-Cross-Linked Alginate Hydrogels Based on Supramolecular Inclusion Complexes,"Miao, Tianxin, Spencer L. Fenn, Patrick N. Charron, and Rachael A. Oldinski. ""Self-healing and thermoresponsive dual-cross-linked alginate hydrogels based on supramolecular inclusion complexes."" Biomacromolecules 16, no. 12 (2015): 3740-3750.",2015,10,"University of Vermont, Burlington, Vermont","44.47801353909452, -73.19652807512038",44.47801354,-73.19652808,79
11,Nuclear Deformation in Response to Mechanical Confinement is Cell Type Dependent,"Doolin, Mary T., Thea S. Ornstein, and Kimberly M. Stroka. ""Nuclear deformation in response to mechanical confinement is cell type dependent."" Cells 8, no. 5 (2019): 427.",2019,5,"University of Maryland, College Park, MD","38.987093406909196, -76.94257575996157",38.98709341,-76.94257576,6
12,Mechanical and Biochemical Stimulation of 3D Multilayered Scaffolds for Tendon Tissue Engineering,"Rinoldi, Chiara, Afsoon Fallahi, Iman K. Yazdi, Jessica Campos Paras, Ewa Kijeńska-Gawrońska, Grissel Trujillo-de Santiago, Abuduwaili Tuoheti et al. ""Mechanical and biochemical stimulation of 3D multilayered scaffolds for tendon tissue engineering."" ACS Biomaterials Science & Engineering 5, no. 6 (2019): 2953-2964.",2019,4,,,,,29